(655.818706129387, 9389331666.261333)
(277.3189561906438, 13119045055.2832)
(281.51225267671094, 26260360724.48)
(281.51394157795903, 33074813194.044952)
(94.36278117300738, 41254536919.91771)
(94.36240375962404, 46333216357.46377)
(94.36249811268684, 49685962860.44648)
(312.96926501202887, 55654096747.37371)
(125.81641254233324, 63160683046.57067)
(220.1796025785499, 68953121847.24774)
(159.36793394247366, 73583241312.11948)
(159.36634043523298, 77521509514.15646)
(159.36761523847616, 81249347319.32037)
(125.81477711540884, 84131223198.87378)
(343.3156913263399, 86836285646.90651)
(125.81112900855177, 88941070308.83897)
(190.81163781941362, 96318634623.76106)
(157.08203627081167, 102421603139.35913)
(156.68254546975956, 107806216008.10478)
(157.26831414387343, 112641614107.73064)
(157.27083018781138, 117062577603.24268)
(157.27145921137492, 121072932848.68227)
(190.82117741872588, 125679475507.6118)
(157.27098744323058, 128992421549.12634)
(157.2717737250436, 132038909362.37143)
(157.2703584234408, 134877333700.92665)
(157.2632822975023, 137481363358.08643)
(157.27083018781138, 139940496455.55536)
(375.87878751518605, 142632489756.9906)
(157.27145921137492, 144587204922.14594)
(157.27145921137492, 146422343005.65884)
(157.26705615209326, 148182028115.3044)
(188.7257510536499, 154300760667.7049)
(188.7251849318767, 160026314508.7445)
(188.7251849318767, 165422163535.19473)
(222.2763289197659, 171164146651.90677)
(188.7251849318767, 176017119720.42368)
(188.72499622537367, 180585815273.10886)
(188.7248075192481, 184947942471.9731)
(188.71990129243713, 188985714189.16873)
(188.72367529041924, 192818961354.8325)
(188.72537363875705, 196467819793.95773)
(188.72537363875705, 199973888424.52628)
(188.72537363875705, 203323223700.98514)
(188.72537363875705, 206501582762.97568)
(188.7151840072149, 209567423570.65897)
(188.7180143500484, 212510303917.491)
(188.72537363875705, 215338680379.79446)
(188.72499622537367, 218037493674.8247)
(188.72556234601475, 220655684555.8487)
(188.7136745257504, 223088724112.8553)
(188.7214108735169, 225412705377.30704)
(188.71122166987277, 227682862157.06668)
(188.72122217456123, 229871808934.2115)
(188.28952566409816, 231978280900.42996)
(188.71744827468984, 234000149220.8537)
(407.3033490373617, 237084564560.28165)
(188.72273177677278, 238973152894.10413)
(188.71461794883587, 240797366397.00803)
(188.71820304258924, 242563794483.06348)
(188.6938648196876, 244292895738.5751)
(188.71499532071127, 245900835498.45178)
(221.76985620252555, 247579061904.59573)
(188.71669351282767, 249101087856.61862)
(220.17431890741221, 254531508157.9203)
(362.7644897902047, 255901894900.82138)
(251.62477390507067, 265032832225.05655)
(188.70178820301894, 266218450900.6354)
(250.69481980747986, 274950269410.13245)
(188.72367529041924, 275962309056.50323)
(188.25102706217825, 276948769289.02014)
(251.63207026469243, 285180836663.9603)
(188.21704869774368, 285975743631.7609)
(251.6237675438465, 293792535940.23236)
(188.71442926346418, 294463892698.7254)
(251.62703824725733, 302059506003.7012)
(188.7104669578154, 302606553405.8558)
(251.62804463464389, 309890302308.08295)
(188.72216567311327, 310333798845.6488)
(251.62301277821106, 317352828687.3972)
(188.71405189385266, 317695613528.51465)
(251.6282962327483, 324452542262.5183)
(188.17782926739295, 324719388926.8654)
(251.62779303704252, 331195465452.1116)
(188.71612744539297, 331320743077.98)
(251.61999376094838, 337610544443.04376)
(188.7136745257504, 337680018916.981)
(251.6305606383298, 343784235158.4943)
(188.69122383977253, 343777478356.4459)
(251.62603186792094, 349683705392.2793)
(187.99321110128366, 349628764290.73395)
(251.62200643107394, 355343471286.078)
(188.7123537492776, 355231122740.91815)
(251.62678665166857, 360777175000.2019)
(188.08800521382457, 360581518999.48724)
(251.6116918370101, 365901798012.4744)
(188.7168822027272, 365667816113.93054)
(251.6240191333979, 370905496813.65967)
(187.9574539700433, 370626942376.2469)
(251.6293026301975, 375701400862.61273)
(188.71990129243713, 375388892430.02234)
(251.63081224146572, 380329566594.7026)
(188.71876912247583, 379980859842.5462)
(251.63106384510473, 384783984222.04803)
(188.7225430751756, 384414143892.83624)
(250.87425794392524, 389054612810.8282)
(188.71141034883038, 388606893209.08356)
(282.31318592559944, 395521779559.2401)
(188.7110329912925, 395041941974.9432)
(251.04643982614368, 399299249908.1355)
(188.70650481855074, 398789142192.5465)
(250.79125463273465, 402942812885.02325)
(188.70990092773397, 402423000927.8798)
