None
Drop PPS: [30757], Throughput: 2363930.31 Mbps, Avg Latency: 1261135289.81 us
Drop PPS: [30517], Throughput: 1882501.29 Mbps, Avg Latency: 1123142476.33 us
Drop PPS: [30580], Throughput: 4116705.02 Mbps, Avg Latency: 1118220654.03 us
Drop PPS: [30547], Throughput: 1250503.03 Mbps, Avg Latency: 1200872790.31 us
Drop PPS: [30592], Throughput: 3372675.97 Mbps, Avg Latency: 1110151101.44 us
Drop PPS: [30832], Throughput: 612352.65 Mbps, Avg Latency: 1175443334.63 us
Drop PPS: [30552], Throughput: 659840.95 Mbps, Avg Latency: 1247352767.88 us
Drop PPS: [30579], Throughput: 2023920.81 Mbps, Avg Latency: 1187650016.74 us
Drop PPS: [31317], Throughput: 1332387.05 Mbps, Avg Latency: 1212737217.58 us
Drop PPS: [30511], Throughput: 1617905.18 Mbps, Avg Latency: 1171785588.92 us
Drop PPS: [30783], Throughput: 1994528.28 Mbps, Avg Latency: 1223504039.86 us
Drop PPS: [30545], Throughput: 2885252.29 Mbps, Avg Latency: 1125154470.29 us
Drop PPS: [30602], Throughput: 2639745.83 Mbps, Avg Latency: 1130493364.84 us
Drop PPS: [30564], Throughput: 1573756.22 Mbps, Avg Latency: 1212843066.21 us
Drop PPS: [30577], Throughput: 4605438.28 Mbps, Avg Latency: 1268790458.03 us
Drop PPS: [31397], Throughput: 41684985.41 Mbps, Avg Latency: 57247332.14 us
Drop PPS: [30576], Throughput: 1361161.03 Mbps, Avg Latency: 1226564.53 us
Drop PPS: [30562], Throughput: 2341780.21 Mbps, Avg Latency: 105952696.36 us
Drop PPS: [30558], Throughput: 1542932.56 Mbps, Avg Latency: 119508183.42 us
Drop PPS: [30579], Throughput: 922596.53 Mbps, Avg Latency: 119919461.77 us
Drop PPS: [30814], Throughput: 400092.40 Mbps, Avg Latency: 90905463.07 us
Drop PPS: [30580], Throughput: 160541.13 Mbps, Avg Latency: 71077729.84 us
Drop PPS: [30587], Throughput: 1589052.50 Mbps, Avg Latency: 115294302.15 us
Drop PPS: [30586], Throughput: 119973.08 Mbps, Avg Latency: 84555768.87 us
Drop PPS: [30545], Throughput: 169204.91 Mbps, Avg Latency: 112031311.35 us
Drop PPS: [30799], Throughput: 346737.73 Mbps, Avg Latency: 102565614.25 us
Drop PPS: [30572], Throughput: 2332466.90 Mbps, Avg Latency: 115402044.22 us
Drop PPS: [30552], Throughput: 2128664.55 Mbps, Avg Latency: 150366947.87 us
Drop PPS: [29864], Throughput: 307370.63 Mbps, Avg Latency: 89768617.11 us
Drop PPS: [30555], Throughput: 3145899.94 Mbps, Avg Latency: 303390282.92 us
Drop PPS: [30807], Throughput: 10227028.68 Mbps, Avg Latency: 451277237.64 us
Drop PPS: [30554], Throughput: 11144410.50 Mbps, Avg Latency: 688307601.08 us
Drop PPS: [30574], Throughput: 4898822.67 Mbps, Avg Latency: 1267851081.40 us
Drop PPS: [30561], Throughput: 38164358.27 Mbps, Avg Latency: 1287725.58 us
